date_time,accel_x,accel_y,accel_z,heart_rate
2019-11-24 18:51:40,-19.0,-45.0,12.0,101.72
2019-11-24 18:51:41,-14.0,-57.0,16.0,102.6
2019-11-24 18:51:42,-16.0,-66.0,6.0,103.45
2019-11-24 18:51:43,-14.0,-37.0,6.0,104.33
2019-11-24 18:51:44,-11.0,-68.0,6.0,105.23
2019-11-24 18:51:45,-23.0,-89.0,21.0,106.08
2019-11-24 18:51:46,-29.0,-61.0,12.0,107.05
2019-11-24 18:51:47,-15.0,-26.0,11.0,108.02
2019-11-24 18:51:48,-13.0,-49.0,18.0,109.02
2019-11-24 18:51:49,-20.0,-96.0,8.0,109.92
2019-11-24 18:51:50,-20.0,-50.0,0.0,110.83
2019-11-24 18:51:51,-10.0,-66.0,7.0,111.72
2019-11-24 18:51:52,-23.0,-56.0,17.0,112.25
2019-11-24 18:51:53,-16.0,-39.0,12.0,112.78
2019-11-24 18:51:54,-13.0,-52.0,20.0,113.37
2019-11-24 18:51:55,-19.0,-100.0,8.0,113.87
2019-11-24 18:51:56,-15.0,-65.0,-1.0,114.3
2019-11-24 18:51:57,-15.0,-32.0,6.0,114.75
2019-11-24 18:51:58,-11.0,-68.0,8.0,115.25
2019-11-24 18:51:59,-22.0,-108.0,16.0,115.75
2019-11-24 18:52:00,-18.0,-27.0,7.0,116.27
2019-11-24 18:52:01,-26.0,-92.0,21.0,116.8
2019-11-24 18:52:02,-17.0,-41.0,1.0,117.33
2019-11-24 18:52:03,-13.0,-45.0,5.0,117.85
2019-11-24 18:52:04,-23.0,-67.0,9.0,118.37
2019-11-24 18:52:05,-16.0,-90.0,19.0,118.9
2019-11-24 18:52:06,-27.0,-36.0,7.0,119.43
2019-11-24 18:52:07,-9.0,-55.0,18.0,119.98
2019-11-24 18:52:08,-41.0,-80.0,16.0,120.53
2019-11-24 18:52:09,-17.0,-61.0,-11.0,121.1
2019-11-24 18:52:10,-18.0,-52.0,15.0,121.72
2019-11-24 18:52:11,-36.0,-84.0,32.0,122.38
2019-11-24 18:52:12,-48.0,-71.0,38.0,123.03
2019-11-24 18:52:13,-48.0,-90.0,33.0,123.68
2019-11-24 18:52:14,-25.0,-38.0,10.0,124.33
2019-11-24 18:52:15,-17.0,-44.0,7.0,124.95
2019-11-24 18:52:16,-15.0,-41.0,10.0,125.55
2019-11-24 18:52:17,-20.0,-61.0,12.0,126.2
2019-11-24 18:52:18,-13.0,-45.0,6.0,126.82
2019-11-24 18:52:19,-25.0,-51.0,14.0,127.43
2019-11-24 18:52:20,-23.0,-35.0,7.0,128.0
2019-11-24 18:52:21,-21.0,-43.0,14.0,128.58
2019-11-24 18:52:22,-22.0,-51.0,13.0,129.12
2019-11-24 18:52:23,-25.0,-32.0,6.0,129.62
2019-11-24 18:52:24,-20.0,-31.0,7.0,130.05
2019-11-24 18:52:25,-23.0,-40.0,6.0,130.55
2019-11-24 18:52:26,-20.0,-76.0,8.0,131.05
2019-11-24 18:52:27,-24.0,-128.0,-1.0,131.57
2019-11-24 18:52:28,-17.0,-128.0,12.0,132.02
2019-11-24 18:52:29,-14.0,-114.0,12.0,132.52
2019-11-24 18:52:30,-27.0,-128.0,12.0,132.93
2019-11-24 18:52:31,-21.0,-104.0,12.0,133.32
2019-11-24 18:52:32,-19.0,-76.0,13.0,133.38
2019-11-24 18:52:33,-28.0,-62.0,18.0,133.43
2019-11-24 18:52:34,-24.0,-61.0,14.0,133.45
2019-11-24 18:52:35,-16.0,-62.0,0.0,133.42
2019-11-24 18:52:36,-20.0,-64.0,-2.0,133.38
2019-11-24 18:52:37,-13.0,-43.0,15.0,133.37
2019-11-24 18:52:38,-14.0,-49.0,19.0,133.38
2019-11-24 18:52:39,-28.0,-83.0,12.0,133.42
2019-11-24 18:52:40,-19.0,-92.0,8.0,133.4
2019-11-24 18:52:41,-15.0,-60.0,1.0,133.5
2019-11-24 18:52:42,-15.0,-34.0,2.0,133.65
2019-11-24 18:52:43,-14.0,-36.0,6.0,133.8
2019-11-24 18:52:44,-11.0,-58.0,7.0,133.92
2019-11-24 18:52:45,-19.0,-57.0,19.0,134.03
2019-11-24 18:52:46,-25.0,-66.0,17.0,134.12
2019-11-24 18:52:47,-23.0,-69.0,27.0,134.18
2019-11-24 18:52:48,-14.0,-49.0,3.0,134.23
2019-11-24 18:52:49,-12.0,-41.0,7.0,134.3
2019-11-24 18:52:50,-15.0,-72.0,6.0,134.4
2019-11-24 18:52:51,-30.0,-107.0,16.0,134.45
2019-11-24 18:52:52,-25.0,-75.0,18.0,134.52
2019-11-24 18:52:53,-28.0,-44.0,12.0,134.58
2019-11-24 18:52:54,-13.0,-42.0,13.0,134.63
2019-11-24 18:52:55,-17.0,-56.0,25.0,134.67
2019-11-24 18:52:56,-19.0,-55.0,5.0,134.7
2019-11-24 18:52:57,-13.0,-40.0,8.0,134.73
2019-11-24 18:52:58,-17.0,-72.0,5.0,134.77
2019-11-24 18:52:59,-17.0,-92.0,25.0,134.82
2019-11-24 18:53:00,-22.0,-34.0,11.0,134.88
2019-11-24 18:53:01,-17.0,-40.0,13.0,134.92
2019-11-24 18:53:02,-13.0,-52.0,22.0,135.0
2019-11-24 18:53:03,-23.0,-93.0,21.0,135.1
