date_time,accel_x,accel_y,accel_z,temp
2019-11-24 18:56:56.531249920,-40.0,25.0,-16.0,32.25
2019-11-24 18:56:56.562500096,-39.0,28.0,-16.0,32.25
2019-11-24 18:56:56.593750016,-41.0,30.0,-16.0,32.25
2019-11-24 18:56:56.624999936,-47.0,31.0,-13.0,32.25
2019-11-24 18:56:56.656250112,-49.0,32.0,-11.0,32.25
2019-11-24 18:56:56.687500032,-50.0,37.0,-14.0,32.25
2019-11-24 18:56:56.718749952,-56.0,41.0,-22.0,32.25
2019-11-24 18:56:56.750000128,-58.0,39.0,-25.0,32.25
2019-11-24 18:56:56.781250048,-62.0,38.0,-28.0,32.2475
2019-11-24 18:56:56.812499968,-61.0,41.0,-31.0,32.245
2019-11-24 18:56:56.843749888,-62.0,45.0,-40.0,32.2425
2019-11-24 18:56:56.875000064,-56.0,33.0,-37.0,32.239999999999995
2019-11-24 18:56:56.906249984,-53.0,34.0,-36.0,32.2375
2019-11-24 18:56:56.937499904,-51.0,38.0,-38.0,32.235
2019-11-24 18:56:56.968750080,-51.0,35.0,-38.0,32.232499999999995
2019-11-24 18:56:57.000000000,-48.0,27.0,-32.0,32.23
2019-11-24 18:56:57.031249920,-41.0,23.0,-19.0,32.23
2019-11-24 18:56:57.062500096,-39.0,23.0,-16.0,32.23
2019-11-24 18:56:57.093750016,-38.0,23.0,-15.0,32.23
2019-11-24 18:56:57.124999936,-38.0,25.0,-15.0,32.23
2019-11-24 18:56:57.156250112,-38.0,30.0,-17.0,32.23
2019-11-24 18:56:57.187500032,-41.0,33.0,-20.0,32.23
2019-11-24 18:56:57.218749952,-44.0,33.0,-21.0,32.23
2019-11-24 18:56:57.249999872,-50.0,34.0,-23.0,32.23
2019-11-24 18:56:57.281250048,-53.0,36.0,-24.0,32.23
2019-11-24 18:56:57.312499968,-56.0,36.0,-26.0,32.23
2019-11-24 18:56:57.343749888,-57.0,36.0,-27.0,32.23
2019-11-24 18:56:57.375000064,-61.0,40.0,-29.0,32.23
2019-11-24 18:56:57.406249984,-63.0,36.0,-27.0,32.23
2019-11-24 18:56:57.437499904,-62.0,35.0,-27.0,32.23
2019-11-24 18:56:57.468750080,-60.0,29.0,-31.0,32.23
2019-11-24 18:56:57.500000000,-59.0,23.0,-30.0,32.23
2019-11-24 18:56:57.531249920,-54.0,22.0,-24.0,32.23
2019-11-24 18:56:57.562500096,-52.0,22.0,-23.0,32.23
2019-11-24 18:56:57.593750016,-49.0,21.0,-21.0,32.23
2019-11-24 18:56:57.624999936,-43.0,22.0,-19.0,32.23
2019-11-24 18:56:57.656250112,-42.0,23.0,-20.0,32.23
2019-11-24 18:56:57.687500032,-41.0,25.0,-20.0,32.23
2019-11-24 18:56:57.718749952,-41.0,26.0,-19.0,32.23
2019-11-24 18:56:57.750000128,-43.0,29.0,-18.0,32.23
2019-11-24 18:56:57.781250048,-46.0,33.0,-17.0,32.23
2019-11-24 18:56:57.812499968,-47.0,34.0,-16.0,32.23
2019-11-24 18:56:57.843749888,-49.0,35.0,-17.0,32.23
2019-11-24 18:56:57.875000064,-49.0,37.0,-19.0,32.23
2019-11-24 18:56:57.906249984,-55.0,40.0,-25.0,32.23
2019-11-24 18:56:57.937499904,-57.0,39.0,-28.0,32.23
2019-11-24 18:56:57.968750080,-57.0,38.0,-29.0,32.23
2019-11-24 18:56:58.000000000,-56.0,43.0,-36.0,32.23
2019-11-24 18:56:58.031249920,-58.0,43.0,-41.0,32.23
2019-11-24 18:56:58.062500096,-56.0,32.0,-36.0,32.23
2019-11-24 18:56:58.093750016,-49.0,35.0,-31.0,32.23
2019-11-24 18:56:58.124999936,-47.0,37.0,-34.0,32.23
2019-11-24 18:56:58.156250112,-44.0,35.0,-36.0,32.23
2019-11-24 18:56:58.187500032,-44.0,31.0,-34.0,32.23
2019-11-24 18:56:58.218749952,-41.0,27.0,-27.0,32.23
2019-11-24 18:56:58.249999872,-38.0,26.0,-20.0,32.23
2019-11-24 18:56:58.281250048,-38.0,27.0,-20.0,32.23
2019-11-24 18:56:58.312499968,-39.0,30.0,-20.0,32.23
2019-11-24 18:56:58.343749888,-39.0,32.0,-21.0,32.23
